2026-05-05 13:28:26, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-05 14:01:08, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 14:01:11, EXEC, v:1, k:ed@editorint, mode:FULL, size:259, fail:COMP
2026-05-05 14:01:16, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 14:01:18, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 14:03:00, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 14:03:50, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:04:54, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 14:09:19, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:14:52, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:14:52, MOVE, v:1, k:ed@editorint, mode:EDIT
